id,district_code
school-40699,lga68ed6b749934
school-40700,lga1FSamwQfor7X
school-40701,lgaf711db11e308
school-40703,lgacb39af3c4099
school-40704,lga249121dcca41
school-40706,lga09dd4fbbc477
school-40707,lgac20f675def30
school-40708,lga5e8f0b6a35b1
school-40709,lgad15a5a116e04
school-40710,lgac07fca595aa9
school-40711,lga06490af4f38a
school-40712,lga5971dfaf3433
school-40714,lgadd6ba71d5cd0
school-40719,lgae4cb9a1dd6df
school-40720,lgacf41226610f4
school-40721,lga1bf4b9703dd4
school-40724,lga945cdd1aa041
school-40725,lgac20f675def30
school-40726,lga4d167b5c075b
school-40727,lga1d9cab11a368
school-40728,lgab64f14d6026f
school-40735,lga4ab258f19347
school-40736,lgadd6ba71d5cd0
school-40737,lga0450031d71ce
school-40739,lga4ab258f19347
school-40741,lga521465c2ad4a
school-40742,lga18e5bcb45b78
school-40744,lgac6194db78942
school-40745,lgad764fa589d34
school-40746,lgae04a9b8beff3
school-40747,lga6ea491feb08f
school-40748,lgab59cd333b8fb
school-40749,lga35f80aa51641
school-40750,lga11ee462056ba
school-40751,lga8f7ed7c51d73
school-40752,lga7d9d7fde79ba
school-40753,lga88366278284a
school-40754,lga605d8cdb0eb8
school-40755,lgaf1f1eef13783
school-40756,lga03a912e8133a
school-40757,lgac6194db78942
school-40758,lga1bf4b9703dd4
school-40759,lgac20f675def30
school-40760,lgac8a09bf5509c
school-40761,lga945cdd1aa041
school-40762,lga6ea491feb08f
school-40763,lga4f3ca10078b8
school-40764,lgaf711db11e308
school-40765,lga6502ae8312bd
school-40766,lgae4cb9a1dd6df
school-40767,lgaf15ebed6de98
school-40769,lgaf711db11e308
school-40771,lgaf711db11e308
school-40773,lga376d180b8860
school-40778,lga68f11a29b468
school-40779,lga06490af4f38a
school-40780,lgaJ2LPN2y4pll0
school-40783,lga39b8f2c918bf
school-40786,lga53026dafea91
school-40787,lgaf711db11e308
school-40788,lga6ddd68314b4a
school-40789,lga12bb9336429b
school-40790,lga376d180b8860
school-40792,lga18e02c07dc3d
school-40795,lgaa5101cb3dc0e
school-40797,lga2myCy2EsI_Km
school-40798,lga16d82bd5306a
school-40801,lga695a89c7b19b
school-40802,lga605d8cdb0eb8
school-40803,lgaef8006a5824e
school-40804,lga09dd4fbbc477
school-40805,lgac6194db78942
school-40806,lgacf41226610f4
school-40807,lga0cd900c07cca
school-40808,lga945cdd1aa041
school-40809,lga5971dfaf3433
school-40810,lga11ee462056ba
school-40811,lgaf711db11e308
school-40814,lgae7983979ea71
school-40815,lgaaeff9c47295f
school-40818,lga6f3147bcaaee
school-40819,lga5c7223f40d56
school-40823,lga4449559268d6
school-40827,lgac030388b8cd2
school-40828,lga15c9c80d4be7
school-40829,lga66fa01403049
school-40830,lga511d862349e9
school-40831,lgae04a9b8beff3
school-40832,lga539121ae6aa1
school-40834,lga86925da5ab9b
school-40835,lga77d96c3addfd
school-40836,lgaa51eac91a650
school-40837,lgab3eac047a70e
school-40838,lgae1728aa315f4
school-40839,lgaed3a2c35aa46
school-40841,lgaed3a2c35aa46
school-40842,lgaf711db11e308
school-40843,lgafd22606d6b20
school-40844,lga570242050fb9
school-40845,lga4ab258f19347
school-40847,lgadf196edd3a41
school-40848,lga1a793093877f
school-40849,lga1bed9266d38b
school-40850,lga4ab258f19347
school-40851,lgaae260494d80c
school-40852,lga1d9cab11a368
school-40854,lga0f45891fa7ad
school-40855,lga0f45891fa7ad
school-40856,lga641dd61419d6
school-40857,lga5b48a02a6055
school-40858,lga2e3aa047bd58
school-40859,lga5b48a02a6055
school-40861,lga9b9a22037920
school-40862,lga0450031d71ce
school-40865,lga9bd137c30d17
school-40867,lgae1dcbacb8510
school-40868,lga53f7b61b0ed6
school-40869,lga0ea91c482c93
school-40870,lgaf711db11e308
school-40871,lgadfe21f7497cb
school-40872,lga9b7881f1ee35
school-40875,lga570242050fb9
school-40876,lgabbf72d87e377
school-40877,act-territory
school-40878,lgada11866a4071
school-40879,lgaeea486bb6672
school-40880,lgad15a5a116e04
school-40881,lgae7983979ea71
school-40882,lga570242050fb9
school-40883,lga8fb7499d80c3
school-40885,lgaef8006a5824e
school-40886,lga7aa37c79c7ff
school-40887,lga9b9a22037920
school-40888,lga5c7223f40d56
school-40889,lga5fa4aba46d55
school-40890,lgacbffb11990f2
school-40892,lgacf41226610f4
school-40893,lgaa5189b29870a
school-40894,lgae1dcbacb8510
school-40895,lgac030388b8cd2
school-40896,lga97d2265a79ce
school-40897,lgaa5101cb3dc0e
school-40898,lga8fa0b5da0f3d
school-40899,lga8fa0b5da0f3d
school-40900,lga2513fbdd7033
school-40901,lgacea61e3f056e
school-40902,lgacea61e3f056e
school-40903,lgacea61e3f056e
