id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
school-42255,school,Medlow Public School,"Medlow, NSW, 2447",2447,-30.779087,152.69016,lgab9f1c7ce8f4c,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Nambucca Valley""}",True
school-42257,school,Mitchells Island Public School,"Mitchells Island, NSW, 2430",2430,-31.896762,152.614054,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42258,school,Modanville Public School,"Lismore, NSW, 2480",2480,-28.730204,153.297192,lga35f80aa51641,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Lismore""}",True
school-42259,school,Moorland Public School,"Moorland, NSW, 2443",2443,-31.769631,152.651174,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42260,school,Mount George Public School,"Mount George, NSW, 2424",2424,-31.880982,152.179633,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42261,school,Mullumbimby Public School,"Mullumbimby, NSW, 2482",2482,-28.552011,153.505937,lga123b323d59f1,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Byron""}",True
school-42262,school,Mummulgum Public School,"Mummulgum, NSW, 2469",2469,-28.848015,152.801645,lga142c33281bd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Kyogle""}",True
school-42263,school,Murwillumbah Public School,"Murwillumbah, NSW, 2484",2484,-28.329886,153.391139,lgac030388b8cd2,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Tweed""}",True
school-42264,school,Nabiac Public School,"Nabiac, NSW, 2312",2312,-32.097544,152.381902,lga2e987509b39d,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Mid-Coast""}",True
school-42265,school,Nambucca Heads Public School,"Nambucca Heads, NSW, 2448",2448,-30.641695,153.006338,lgab9f1c7ce8f4c,nsw,australia,"{""sector"": ""Government"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Nambucca Valley""}",True
