id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
nursery-01HGCQYRHHMSCNCT69PMMAPRVZ,nursery,Montessori Works - Maroubra Beach Babies,"475-477 Malabar Road, Maroubra",2035,-33.9455511,151.2521178,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40007612MQA5ADAAMAAxADkAMAA5ADgAQwA="", ""provider_id"": ""PR-40013539"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQYQD52BD3E5K7VMJZMN7Y,nursery,Everlearn Preschool - Clovelly,"58-60 Arden Street, Clovelly",2031,-33.9107473,151.2583221,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40007459MQA5ADAAMAAxADEAMgAwADEAWAA="", ""provider_id"": ""PR-40006180"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQYBMB2QC20BKVMM73BABV,nursery,Little Zak's Academy Bondi,"97 Grafton St, Bondi Junction",2022,-33.8912047,151.2494981,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40006591MQA5ADAAMAAwADkANAAwADEAVAA="", ""provider_id"": ""PR-40006598"", ""service_type"": [""Centre-Based Care"", ""LONGDC"", ""OOSHAfter"", ""OOSHBefore""], ""rating"": ""EXCD""}",true
nursery-01HGCQY0QBT2H2QV9XMPB0GW9Z,nursery,Kensington Castle Early Education Centre,"2 Virginia St, Kensington",2033,-33.9089483,151.2143954,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40005925MQA5ADAAMAAwADgAMQA3ADIAUwA="", ""provider_id"": ""PR-40005051"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""EXCD""}",true
nursery-01HGCQXEB9MM7M48PFHNBN6GQ2,nursery,Greenwood Bronte,"16 Wallace St, Waverley",2024,-33.9058865,151.2551013,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40005075MQA5ADAAMAAwADYAOAA0ADIATAA="", ""provider_id"": ""PR-40002447"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQX48XVGA41Q1MTWZEKFBQ,nursery,Little Feet Early Learning & Childcare Centre,"23 Macpherson St, Waverley",2024,-33.90525909999999,151.2561717,lga7aa37c79c7ff,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40004500MQA5ADAAMAAxADQANwAzADgATAA="", ""provider_id"": ""PR-40003596"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQWX3PEKXV4N8514VH6HWW,nursery,Victoria Park Montessori Academy,"Level 5, 2 Defries Ave, Zetland",2017,-33.9052662,151.2130838,lga605d8cdb0eb8,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40003534MQA5ADAAMAAxADQAMQA3ADAAWAA="", ""provider_id"": ""PR-40002740"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQWJJWKXA92N3HG8BT7Y7X,nursery,A Place To Grow Early Learning Academy,"1 Dampier St, Chifley",2036,-33.9669356,151.2354036,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40002979MQA5ADAAMAAxADUANgAyADMAQgA="", ""provider_id"": ""PR-40002577"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01HGCQWD50QE91JQ5NP6PE6Y0W,nursery,Miniland Early Learning Centre,"1123 Anzac Parade, Matraville",2036,-33.9567441,151.2440111,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40002255MQA5ADAAMAAwADcANwA4ADcASwA="", ""provider_id"": ""PR-40004908"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""WORK""}",true
nursery-01HGCQWATPKA14MH5T0FPF15MX,nursery,Guardian Childcare & Education South Coogee,"158 Moverly Rd, South Coogee",2034,-33.9316056,151.2551241,lga09dd4fbbc477,nsw,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40002480MQA5ADAAMAA1ADAAMAA1ADEASgA="", ""provider_id"": ""PR-00000823"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""EXCD""}",true
